Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
Membantu banget buat yang suka diluar kota terus orang rumah lagi sakit jadi bisa pesenin dari jauh terimakasih buat yang udah develop ide apk ini anda berpahala besar,Positif,Membantu banget buat yang suka diluar kota terus orang rumah lagi sakit jadi bisa pesenin dari jauh terimakasih buat yang udah develop ide apk ini anda berpahala besar,membantu banget buat yang suka diluar kota terus orang rumah lagi sakit jadi bisa pesenin dari jauh terimakasih buat yang udah develop ide apk ini anda berpahala besar,"['membantu', 'banget', 'buat', 'yang', 'suka', 'diluar', 'kota', 'terus', 'orang', 'rumah', 'lagi', 'sakit', 'jadi', 'bisa', 'pesenin', 'dari', 'jauh', 'terimakasih', 'buat', 'yang', 'udah', 'develop', 'ide', 'apk', 'ini', 'anda', 'berpahala', 'besar']",membantu banget suka diluar kota orang rumah sakit pesenin terimakasih udah develop ide apk berpahala,bantu banget suka luar kota orang rumah sakit senin terimakasih udah develop ide apk pahala
sangat membantu tangani orang tua yg tidak mau pergi ke dokter pada saat sakit,Positif,sangat membantu tangani orang tua yg tidak mau pergi ke dokter pada saat sakit,sangat membantu tangani orang tua yg tidak mau pergi ke dokter pada saat sakit,"['sangat', 'membantu', 'tangani', 'orang', 'tua', 'yg', 'tidak', 'mau', 'pergi', 'ke', 'dokter', 'pada', 'saat', 'sakit']",membantu tangani orang tua yg pergi dokter sakit,bantu tangan orang tua yg pergi dokter sakit
"Sangat membantu, Dr. Nyan ramah",Positif,Sangat membantu Dr Nyan ramah,sangat membantu dr nyan ramah,"['sangat', 'membantu', 'dr', 'nyan', 'ramah']",membantu dr nyan ramah,bantu dr nyan ramah
Benar benar sangat membantu,Positif,Benar benar sangat membantu,benar benar sangat membantu,"['benar', 'benar', 'sangat', 'membantu']",membantu,bantu
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Tolong berikan gratis ongkir,Negatif,Tolong berikan gratis ongkir,tolong berikan gratis ongkir,"['tolong', 'berikan', 'gratis', 'ongkir']",tolong gratis ongkir,tolong gratis ongkir
"Kecewa sih, padahal saya search dokter sp.Gk tapi dokter Sp.A juga ikut muncul di list. Akhirnya saya salah pilih dokter dan ngga bisa konsul,melayang gitu aja uang sayaðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­",Negatif,Kecewa sih padahal saya search dokter sp Gk tapi dokter Sp A juga ikut muncul di list Akhirnya saya salah pilih dokter dan ngga bisa konsul melayang gitu aja uang saya,kecewa sih padahal saya search dokter sp gk tapi dokter sp a juga ikut muncul di list akhirnya saya salah pilih dokter dan ngga bisa konsul melayang gitu aja uang saya,"['kecewa', 'sih', 'padahal', 'saya', 'search', 'dokter', 'sp', 'gk', 'tapi', 'dokter', 'sp', 'a', 'juga', 'ikut', 'muncul', 'di', 'list', 'akhirnya', 'saya', 'salah', 'pilih', 'dokter', 'dan', 'ngga', 'bisa', 'konsul', 'melayang', 'gitu', 'aja', 'uang', 'saya']",kecewa sih search dokter sp gk dokter sp a muncul list salah pilih dokter ngga konsul melayang gitu aja uang,kecewa sih search dokter sp gk dokter sp a muncul list salah pilih dokter ngga konsul layang gitu aja uang
Sangat membantu!!!,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Membantu sekali untuk orang yang malas antri dan waktu luang untuk ke dokter offlineðŸ˜,Positif,Membantu sekali untuk orang yang malas antri dan waktu luang untuk ke dokter offline,membantu sekali untuk orang yang malas antri dan waktu luang untuk ke dokter offline,"['membantu', 'sekali', 'untuk', 'orang', 'yang', 'malas', 'antri', 'dan', 'waktu', 'luang', 'untuk', 'ke', 'dokter', 'offline']",membantu orang malas antri luang dokter offline,bantu orang malas antri luang dokter offline
mntap pelayanannya bgus mohon ditambhi dengn ewallet yg lain,Positif,mntap pelayanannya bgus mohon ditambhi dengn ewallet yg lain,mntap pelayanannya bgus mohon ditambhi dengn ewallet yg lain,"['mntap', 'pelayanannya', 'bgus', 'mohon', 'ditambhi', 'dengn', 'ewallet', 'yg', 'lain']",mntap pelayanannya bgus mohon ditambhi dengn ewallet yg,mntap layan bgus mohon ditambhi dengn ewallet yg
Terimakasih sangat membantu,Positif,Terimakasih sangat membantu,terimakasih sangat membantu,"['terimakasih', 'sangat', 'membantu']",terimakasih membantu,terimakasih bantu
Sangat membantu sangat rekomendasi,Positif,Sangat membantu sangat rekomendasi,sangat membantu sangat rekomendasi,"['sangat', 'membantu', 'sangat', 'rekomendasi']",membantu rekomendasi,bantu rekomendasi
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Pengalaman pertama konsultasi halodoc. Ternyata lebih enak gak usah keluar rumah.,Positif,Pengalaman pertama konsultasi halodoc Ternyata lebih enak gak usah keluar rumah,pengalaman pertama konsultasi halodoc ternyata lebih enak gak usah keluar rumah,"['pengalaman', 'pertama', 'konsultasi', 'halodoc', 'ternyata', 'lebih', 'enak', 'gak', 'usah', 'keluar', 'rumah']",pengalaman konsultasi halodoc enak gak rumah,alam konsultasi halodoc enak gak rumah
Sangat membantu dimanapun dan kapan pun,Positif,Sangat membantu dimanapun dan kapan pun,sangat membantu dimanapun dan kapan pun,"['sangat', 'membantu', 'dimanapun', 'dan', 'kapan', 'pun']",membantu dimanapun,bantu mana
Pengiriman cepat dan sangat membantu,Positif,Pengiriman cepat dan sangat membantu,pengiriman cepat dan sangat membantu,"['pengiriman', 'cepat', 'dan', 'sangat', 'membantu']",pengiriman cepat membantu,kirim cepat bantu
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
"Apakah memang ada batasan waktu ya pas konsultasi? Tadi saya tinggal chatnya ga sampe satu jam belum saya bales balik, tapi sm dokternya udh dianggap selesai, uang saya sia sia.",Negatif,Apakah memang ada batasan waktu ya pas konsultasi Tadi saya tinggal chatnya ga sampe satu jam belum saya bales balik tapi sm dokternya udh dianggap selesai uang saya sia sia,apakah memang ada batasan waktu ya pas konsultasi tadi saya tinggal chatnya ga sampe satu jam belum saya bales balik tapi sm dokternya udh dianggap selesai uang saya sia sia,"['apakah', 'memang', 'ada', 'batasan', 'waktu', 'ya', 'pas', 'konsultasi', 'tadi', 'saya', 'tinggal', 'chatnya', 'ga', 'sampe', 'satu', 'jam', 'belum', 'saya', 'bales', 'balik', 'tapi', 'sm', 'dokternya', 'udh', 'dianggap', 'selesai', 'uang', 'saya', 'sia', 'sia']",batasan ya pas konsultasi tinggal chatnya ga sampe jam bales sm dokternya udh dianggap selesai uang sia sia,batas ya pas konsultasi tinggal chatnya ga sampe jam bales sm dokter udh anggap selesai uang sia sia
"nyesel pesan obat dari aplikasi halodoc, ternyata lama banget pengirimannya. aku kira bakal direkomendasikan apotek terdekat, gak tahunya malah dari luar pulau. kalau daerah Kalimantan Selatan perkiraan aku bakal dikirim dari Banjarmasin, ternyata malah dari Surabaya. obat sudah ditunggu, sampai hari ini belum sampai juga.",Negatif,nyesel pesan obat dari aplikasi halodoc ternyata lama banget pengirimannya aku kira bakal direkomendasikan apotek terdekat gak tahunya malah dari luar pulau kalau daerah Kalimantan Selatan perkiraan aku bakal dikirim dari Banjarmasin ternyata malah dari Surabaya obat sudah ditunggu sampai hari ini belum sampai juga,nyesel pesan obat dari aplikasi halodoc ternyata lama banget pengirimannya aku kira bakal direkomendasikan apotek terdekat gak tahunya malah dari luar pulau kalau daerah kalimantan selatan perkiraan aku bakal dikirim dari banjarmasin ternyata malah dari surabaya obat sudah ditunggu sampai hari ini belum sampai juga,"['nyesel', 'pesan', 'obat', 'dari', 'aplikasi', 'halodoc', 'ternyata', 'lama', 'banget', 'pengirimannya', 'aku', 'kira', 'bakal', 'direkomendasikan', 'apotek', 'terdekat', 'gak', 'tahunya', 'malah', 'dari', 'luar', 'pulau', 'kalau', 'daerah', 'kalimantan', 'selatan', 'perkiraan', 'aku', 'bakal', 'dikirim', 'dari', 'banjarmasin', 'ternyata', 'malah', 'dari', 'surabaya', 'obat', 'sudah', 'ditunggu', 'sampai', 'hari', 'ini', 'belum', 'sampai', 'juga']",nyesel pesan obat aplikasi halodoc banget pengirimannya direkomendasikan apotek terdekat gak tahunya pulau daerah kalimantan selatan perkiraan dikirim banjarmasin surabaya obat ditunggu,nyesel pesan obat aplikasi halodoc banget kirim rekomendasi apotek dekat gak tahu pulau daerah kalimantan selatan kira kirim banjarmasin surabaya obat tunggu
sangat membantu dan praktis,Positif,sangat membantu dan praktis,sangat membantu dan praktis,"['sangat', 'membantu', 'dan', 'praktis']",membantu praktis,bantu praktis
"Yang susah dicari obatnya selalu ada disini, harga obatnya pun ga mahal",Positif,Yang susah dicari obatnya selalu ada disini harga obatnya pun ga mahal,yang susah dicari obatnya selalu ada disini harga obatnya pun ga mahal,"['yang', 'susah', 'dicari', 'obatnya', 'selalu', 'ada', 'disini', 'harga', 'obatnya', 'pun', 'ga', 'mahal']",susah dicari obatnya harga obatnya ga mahal,susah cari obat harga obat ga mahal
Sangat membantu . Sakit tidak perlu antri ke RS,Positif,Sangat membantu Sakit tidak perlu antri ke RS,sangat membantu sakit tidak perlu antri ke rs,"['sangat', 'membantu', 'sakit', 'tidak', 'perlu', 'antri', 'ke', 'rs']",membantu sakit antri rs,bantu sakit antri rs
bagusss,Positif,bagusss,bagusss,['bagusss'],bagusss,bagusss
"Alhamdulillah, bisa konsultasi di halodoc bersama para ahli profesional dengan biaya konsultasi terjangkauðŸ˜ŠðŸ™ Kapan lagi bisa konsultasi mudah, rekomendasi banget sii. Apalagi untuk kaum introvert ðŸ˜Š terimakasih halodoc",Positif,Alhamdulillah bisa konsultasi di halodoc bersama para ahli profesional dengan biaya konsultasi terjangkau Kapan lagi bisa konsultasi mudah rekomendasi banget sii Apalagi untuk kaum introvert terimakasih halodoc,alhamdulillah bisa konsultasi di halodoc bersama para ahli profesional dengan biaya konsultasi terjangkau kapan lagi bisa konsultasi mudah rekomendasi banget sii apalagi untuk kaum introvert terimakasih halodoc,"['alhamdulillah', 'bisa', 'konsultasi', 'di', 'halodoc', 'bersama', 'para', 'ahli', 'profesional', 'dengan', 'biaya', 'konsultasi', 'terjangkau', 'kapan', 'lagi', 'bisa', 'konsultasi', 'mudah', 'rekomendasi', 'banget', 'sii', 'apalagi', 'untuk', 'kaum', 'introvert', 'terimakasih', 'halodoc']",alhamdulillah konsultasi halodoc ahli profesional biaya konsultasi terjangkau konsultasi mudah rekomendasi banget sii kaum introvert terimakasih halodoc,alhamdulillah konsultasi halodoc ahli profesional biaya konsultasi jangkau konsultasi mudah rekomendasi banget sii kaum introvert terimakasih halodoc
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
"Pas kerja shift malem tiba - tiba muncul ruam merah di kaki dan keluar cairan. Panik karena baru ngeh dan lumayan perih akhirnya langsung konsul ke halodoc. Mulai dari chat dengan dokter, di resepkan obat, dan bahkan langsung diantarkan obat yg sudah diresepkan ke perusahaan (posisi kerja shift malem). Overall gratis karena ditanggung asuransi perusahaan hehe. Terimakasih halodoc ðŸ«¶",Positif,Pas kerja shift malem tiba tiba muncul ruam merah di kaki dan keluar cairan Panik karena baru ngeh dan lumayan perih akhirnya langsung konsul ke halodoc Mulai dari chat dengan dokter di resepkan obat dan bahkan langsung diantarkan obat yg sudah diresepkan ke perusahaan posisi kerja shift malem Overall gratis karena ditanggung asuransi perusahaan hehe Terimakasih halodoc,pas kerja shift malem tiba tiba muncul ruam merah di kaki dan keluar cairan panik karena baru ngeh dan lumayan perih akhirnya langsung konsul ke halodoc mulai dari chat dengan dokter di resepkan obat dan bahkan langsung diantarkan obat yg sudah diresepkan ke perusahaan posisi kerja shift malem overall gratis karena ditanggung asuransi perusahaan hehe terimakasih halodoc,"['pas', 'kerja', 'shift', 'malem', 'tiba', 'tiba', 'muncul', 'ruam', 'merah', 'di', 'kaki', 'dan', 'keluar', 'cairan', 'panik', 'karena', 'baru', 'ngeh', 'dan', 'lumayan', 'perih', 'akhirnya', 'langsung', 'konsul', 'ke', 'halodoc', 'mulai', 'dari', 'chat', 'dengan', 'dokter', 'di', 'resepkan', 'obat', 'dan', 'bahkan', 'langsung', 'diantarkan', 'obat', 'yg', 'sudah', 'diresepkan', 'ke', 'perusahaan', 'posisi', 'kerja', 'shift', 'malem', 'overall', 'gratis', 'karena', 'ditanggung', 'asuransi', 'perusahaan', 'hehe', 'terimakasih', 'halodoc']",pas kerja shift malem muncul ruam merah kaki cairan panik ngeh lumayan perih langsung konsul halodoc chat dokter resepkan obat langsung diantarkan obat yg diresepkan perusahaan posisi kerja shift malem overall gratis ditanggung asuransi perusahaan hehe terimakasih halodoc,pas kerja shift malem muncul ruam merah kaki cair panik ngeh lumayan perih langsung konsul halodoc chat dokter resep obat langsung antar obat yg resep usaha posisi kerja shift malem overall gratis tanggung asuransi usaha hehe terimakasih halodoc
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Sangat bagus,Positif,Sangat bagus,sangat bagus,"['sangat', 'bagus']",bagus,bagus
Apakah bisa berobat & mendapatkan surat dokter online nya?,Positif,Apakah bisa berobat mendapatkan surat dokter online nya,apakah bisa berobat mendapatkan surat dokter online nya,"['apakah', 'bisa', 'berobat', 'mendapatkan', 'surat', 'dokter', 'online', 'nya']",berobat surat dokter online nya,obat surat dokter online nya
Ini aplikasi yang sangat sangat bermanfaat bagi masyarakat,Positif,Ini aplikasi yang sangat sangat bermanfaat bagi masyarakat,ini aplikasi yang sangat sangat bermanfaat bagi masyarakat,"['ini', 'aplikasi', 'yang', 'sangat', 'sangat', 'bermanfaat', 'bagi', 'masyarakat']",aplikasi bermanfaat masyarakat,aplikasi manfaat masyarakat
Bagus sekali aplikasinya,Positif,Bagus sekali aplikasinya,bagus sekali aplikasinya,"['bagus', 'sekali', 'aplikasinya']",bagus aplikasinya,bagus aplikasi
baguss,Positif,baguss,baguss,['baguss'],baguss,baguss
bermanfaat sekali dan cepat,Positif,bermanfaat sekali dan cepat,bermanfaat sekali dan cepat,"['bermanfaat', 'sekali', 'dan', 'cepat']",bermanfaat cepat,manfaat cepat
Mantul,Positif,Mantul,mantul,['mantul'],mantul,mantul
Baik,Positif,Baik,baik,['baik'],,
"kenapa setelah di updte malah tidak bisa di pencet apa""(error)? segera diperbaiki yah",Negatif,kenapa setelah di updte malah tidak bisa di pencet apa error segera diperbaiki yah,kenapa setelah di updte malah tidak bisa di pencet apa error segera diperbaiki yah,"['kenapa', 'setelah', 'di', 'updte', 'malah', 'tidak', 'bisa', 'di', 'pencet', 'apa', 'error', 'segera', 'diperbaiki', 'yah']",updte pencet error diperbaiki yah,updte pencet error baik yah
Terima kasih dokter Cepat tanggap menangani konsultasi,Positif,Terima kasih dokter Cepat tanggap menangani konsultasi,terima kasih dokter cepat tanggap menangani konsultasi,"['terima', 'kasih', 'dokter', 'cepat', 'tanggap', 'menangani', 'konsultasi']",terima kasih dokter cepat tanggap menangani konsultasi,terima kasih dokter cepat tanggap tangan konsultasi
"Dokternya keren fast respon,terima kasih",Positif,Dokternya keren fast respon terima kasih,dokternya keren fast respon terima kasih,"['dokternya', 'keren', 'fast', 'respon', 'terima', 'kasih']",dokternya keren fast respon terima kasih,dokter keren fast respon terima kasih
Mantap simpel dan cepat,Positif,Mantap simpel dan cepat,mantap simpel dan cepat,"['mantap', 'simpel', 'dan', 'cepat']",mantap simpel cepat,mantap simpel cepat
Dokter astrid sllu jawabnya jelas,Positif,Dokter astrid sllu jawabnya jelas,dokter astrid sllu jawabnya jelas,"['dokter', 'astrid', 'sllu', 'jawabnya', 'jelas']",dokter astrid sllu,dokter astrid sllu
Memberi informasi,Positif,Memberi informasi,memberi informasi,"['memberi', 'informasi']",informasi,informasi
"Dokternya baik, bisa tanya detil",Positif,Dokternya baik bisa tanya detil,dokternya baik bisa tanya detil,"['dokternya', 'baik', 'bisa', 'tanya', 'detil']",dokternya detil,dokter detil
Dokternya baik dan sangat membantu,Positif,Dokternya baik dan sangat membantu,dokternya baik dan sangat membantu,"['dokternya', 'baik', 'dan', 'sangat', 'membantu']",dokternya membantu,dokter bantu
Terima kasih sgt membantu,Positif,Terima kasih sgt membantu,terima kasih sgt membantu,"['terima', 'kasih', 'sgt', 'membantu']",terima kasih sgt membantu,terima kasih sgt bantu
"bagus lah pokoknya, dokter yang aku pilih BAIK BANGETTT, LUVVV ðŸ˜»",Positif,bagus lah pokoknya dokter yang aku pilih BAIK BANGETTT LUVVV,bagus lah pokoknya dokter yang aku pilih baik bangettt luvvv,"['bagus', 'lah', 'pokoknya', 'dokter', 'yang', 'aku', 'pilih', 'baik', 'bangettt', 'luvvv']",bagus pokoknya dokter pilih bangettt luvvv,bagus pokok dokter pilih bangettt luvvv
"gua ngerelain duit makan gua buat konsul ke psikolog biar gua tenang, tapi malah dicuekin. lu makan noh duit haram",Negatif,gua ngerelain duit makan gua buat konsul ke psikolog biar gua tenang tapi malah dicuekin lu makan noh duit haram,gua ngerelain duit makan gua buat konsul ke psikolog biar gua tenang tapi malah dicuekin lu makan noh duit haram,"['gua', 'ngerelain', 'duit', 'makan', 'gua', 'buat', 'konsul', 'ke', 'psikolog', 'biar', 'gua', 'tenang', 'tapi', 'malah', 'dicuekin', 'lu', 'makan', 'noh', 'duit', 'haram']",gua ngerelain duit makan gua konsul psikolog biar gua tenang dicuekin lu makan noh duit haram,gua ngerelain duit makan gua konsul psikolog biar gua tenang dicuekin lu makan noh duit haram
"Tersiksa sakit 4 hari gasanggup jalan ke dokter , lupa kalau punya aplikasi halodoc Alhamdulillah langsung sembuh bisa nelen lagi uda keringetan badan udah pulih lagi Obat nya bagus walau mahal tapi asli langsung sembuh",Negatif,Tersiksa sakit hari gasanggup jalan ke dokter lupa kalau punya aplikasi halodoc Alhamdulillah langsung sembuh bisa nelen lagi uda keringetan badan udah pulih lagi Obat nya bagus walau mahal tapi asli langsung sembuh,tersiksa sakit hari gasanggup jalan ke dokter lupa kalau punya aplikasi halodoc alhamdulillah langsung sembuh bisa nelen lagi uda keringetan badan udah pulih lagi obat nya bagus walau mahal tapi asli langsung sembuh,"['tersiksa', 'sakit', 'hari', 'gasanggup', 'jalan', 'ke', 'dokter', 'lupa', 'kalau', 'punya', 'aplikasi', 'halodoc', 'alhamdulillah', 'langsung', 'sembuh', 'bisa', 'nelen', 'lagi', 'uda', 'keringetan', 'badan', 'udah', 'pulih', 'lagi', 'obat', 'nya', 'bagus', 'walau', 'mahal', 'tapi', 'asli', 'langsung', 'sembuh']",tersiksa sakit gasanggup jalan dokter lupa aplikasi halodoc alhamdulillah langsung sembuh nelen uda keringetan badan udah pulih obat nya bagus mahal asli langsung sembuh,siksa sakit gasanggup jalan dokter lupa aplikasi halodoc alhamdulillah langsung sembuh nelen uda keringetan badan udah pulih obat nya bagus mahal asli langsung sembuh
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Sangat membantu saat sakit,Positif,Sangat membantu saat sakit,sangat membantu saat sakit,"['sangat', 'membantu', 'saat', 'sakit']",membantu sakit,bantu sakit
Membantu banget,Positif,Membantu banget,membantu banget,"['membantu', 'banget']",membantu banget,bantu banget
Aplikasinya tidak responsif. Lemot,Negatif,Aplikasinya tidak responsif Lemot,aplikasinya tidak responsif lemot,"['aplikasinya', 'tidak', 'responsif', 'lemot']",aplikasinya responsif lemot,aplikasi responsif lot
